date,ticker,market_cap_usd,volume_usd
2021-05-09,ZRX,1953813715.65662,107754296.713029
2021-05-10,ZRX,1747630136.39059,159872314.268069
2021-05-11,ZRX,1859252328.82568,117002691.08116
2021-05-12,ZRX,1707963707.75486,242108787.822036
2021-05-13,ZRX,1599716133.91607,197092798.253363
2021-05-14,ZRX,1701625958.19411,107505045.551935
2021-05-15,ZRX,1548530934.62431,104123045.213206
2021-05-16,ZRX,1565133620.47732,112644698.546273
2021-05-17,ZRX,1466135802.36782,110553198.836747
2021-05-18,ZRX,1602466919.77954,170539114.76391
2021-05-19,ZRX,1039693335.48893,246855208.734064
2021-05-20,ZRX,1154327685.64897,158389014.01743
2021-05-21,ZRX,1027997089.67681,170177614.327006
2021-05-22,ZRX,966134435.624688,95839206.900247
2021-05-23,ZRX,796258457.362987,102740500.810604
2021-05-24,ZRX,976612466.849459,106649456.816537
2021-05-25,ZRX,979511126.161224,77959217.6480501
2021-05-26,ZRX,1137550193.65511,88411538.2114178
2021-05-27,ZRX,1102257329.10481,73079138.1349156
2021-05-28,ZRX,961518612.998683,77297047.9778078
2021-05-29,ZRX,899845970.796831,52139289.0896421
2021-05-30,ZRX,939488337.235775,40412687.5359133
2021-05-31,ZRX,1017298249.95279,39290490.4873085
2021-06-01,ZRX,1023832271.85366,57789367.6093418
2021-06-02,ZRX,1156016462.6038,230967218.469954
2021-06-03,ZRX,1195494028.97388,83697673.9337527
2021-06-04,ZRX,1072032167.61709,50735343.8255683
2021-06-05,ZRX,1036185896.95568,36234479.0798248
2021-06-06,ZRX,1055139278.24771,25360685.8662976
2021-06-07,ZRX,954921302.771159,30795962.1867732
2021-06-08,ZRX,950699736.929139,49526653.9160105
2021-06-09,ZRX,959674781.493844,78742436.4587659
2021-06-10,ZRX,936070249.185461,34513614.8060285
2021-06-11,ZRX,859938541.998608,29394030.8074426
2021-06-12,ZRX,856619337.037919,35061379.1576576
2021-06-13,ZRX,892714299.656629,36148274.9653219
2021-06-14,ZRX,910024146.608901,31395070.1615663
2021-06-15,ZRX,898424991.756886,32648035.4037252
2021-06-16,ZRX,861699075.63336,31932502.5430502
2021-06-17,ZRX,874140858.684329,18150857.7872648
2021-06-18,ZRX,811338480.348538,23817312.0011792
2021-06-19,ZRX,791277889.470535,15237225.4186991
2021-06-20,ZRX,792445606.006156,22823818.601833
2021-06-21,ZRX,611567220.037798,46381441.1283533
2021-06-22,ZRX,573323112.251189,53848484.6950215
2021-06-23,ZRX,637394185.538736,32328668.4041587
2021-06-24,ZRX,661340950.634589,21045985.3101861
2021-06-25,ZRX,608510729.922934,29484035.1798124
2021-06-26,ZRX,594388991.730965,24557341.7299028
2021-06-27,ZRX,632424784.074155,17832634.6229825
2021-06-28,ZRX,700262510.087205,33093627.9324241
2021-06-29,ZRX,724042412.333458,33071596.8389756
2021-06-30,ZRX,736006864.845297,31028092.2420264
2021-07-01,ZRX,689008425.839125,40903577.0785399
2021-07-02,ZRX,688591165.998649,23869173.1411296
2021-07-03,ZRX,698914238.294134,18197434.4492672
2021-07-04,ZRX,723771770.232436,18873102.8493754
2021-07-05,ZRX,696723735.508445,26788268.7671515
2021-07-06,ZRX,711201954.028161,34750418.3739175
2021-07-07,ZRX,784830547.495523,72384542.9440045
2021-07-08,ZRX,786259216.499381,50919448.3556379
2021-07-09,ZRX,842393063.021693,142458975.506779
2021-07-10,ZRX,790277334.389694,53560780.4813065
2021-07-11,ZRX,793263985.943421,25467210.6675073
2021-07-12,ZRX,751257190.12754,23087074.5194316
2021-07-13,ZRX,711645284.560571,17262094.3896941
2021-07-14,ZRX,715146740.881623,20315505.9192458
2021-07-15,ZRX,664905122.872629,22390741.0869474
2021-07-16,ZRX,618034320.635088,23507718.9817044
2021-07-17,ZRX,624985073.421353,15911103.6805844
2021-07-18,ZRX,623006246.466714,14224400.4232371
2021-07-19,ZRX,587316522.632076,18353365.6838004
2021-07-20,ZRX,547312038.370795,22350517.9629412
2021-07-21,ZRX,632573317.223446,39193682.6280623
2021-07-22,ZRX,638346436.434279,24300015.0858656
2021-07-23,ZRX,647904307.30629,16612120.6951045
2021-07-24,ZRX,655382569.313507,19360281.7135111
2021-07-25,ZRX,656863273.983199,13783037.8147112
2021-07-26,ZRX,676558214.521364,38181482.3368145
2021-07-27,ZRX,705347808.717722,43857522.3825711
2021-07-28,ZRX,703776710.055013,27467318.0743191
2021-07-29,ZRX,756390506.634761,50101365.8363178
2021-07-30,ZRX,775490737.974037,30653671.6215574
2021-07-31,ZRX,825043619.192023,103150883.499291
2021-08-01,ZRX,785220003.152428,44374947.0984418
2021-08-02,ZRX,816520393.134314,29186509.4227798
2021-08-03,ZRX,846790872.198524,39519160.5798846
2021-08-04,ZRX,866764709.936379,40292702.07014
2021-08-05,ZRX,890788350.888447,85537456.2723137
2021-08-06,ZRX,890580831.602281,33840751.3117203
2021-08-07,ZRX,922291382.403505,44236476.7035288
2021-08-08,ZRX,938275053.422033,140770032.985358
2021-08-09,ZRX,954691401.574989,44020653.2687683
2021-08-10,ZRX,963595862.964072,45769273.6922868
2021-08-11,ZRX,993923882.150843,52633920.5162148
2021-08-12,ZRX,948200095.676195,43404300.5281386
2021-08-13,ZRX,1052841081.64461,101574364.050702
2021-08-14,ZRX,1069157440.03434,80252174.5166941
2021-08-15,ZRX,1064609237.6537,33784083.8361483
2021-08-16,ZRX,1031588834.47938,56888077.3606809
2021-08-17,ZRX,988835060.480031,61313060.7685387
2021-08-18,ZRX,975977844.519471,46916357.5081568
